wavelength,counts
941.5,1.29E+03
942,1.29E+03
942.5,1.29E+03
943,1.31E+03
943.5,1.33E+03
944,1.34E+03
944.5,1.34E+03
945,1.33E+03
945.5,1.32E+03
946,1.31E+03
946.5,1.30E+03
947,1.30E+03
947.5,1.31E+03
948,1.32E+03
948.5,1.32E+03
949,1.32E+03
949.5,1.32E+03
950,1.31E+03
950.5,1.31E+03
951,1.31E+03
951.5,1.32E+03
952,1.34E+03
952.5,1.40E+03
953,1.44E+03
953.5,1.45E+03
954,1.44E+03
954.5,1.38E+03
955,1.32E+03
955.5,1.31E+03
956,1.31E+03
956.5,1.31E+03
957,1.31E+03
957.5,1.31E+03
958,1.31E+03
958.5,1.30E+03
959,1.30E+03
959.5,1.30E+03
960,1.30E+03
960.5,1.31E+03
961,1.31E+03
961.5,1.32E+03
962,1.32E+03
962.5,1.33E+03
963,1.34E+03
963.5,1.34E+03
964,1.34E+03
964.5,1.34E+03
965,1.33E+03
965.5,1.33E+03
966,1.34E+03
966.5,1.36E+03
967,1.36E+03
967.5,1.37E+03
968,1.37E+03
968.5,1.39E+03
969,1.42E+03
969.5,1.45E+03
970,1.45E+03
970.5,1.45E+03
971,1.45E+03
971.5,1.46E+03
972,1.45E+03
972.5,1.45E+03
973,1.44E+03
973.5,1.39E+03
974,1.35E+03
974.5,1.43E+03
975,1.69E+03
975.5,1.86E+03
976,1.95E+03
976.5,2.03E+03
977,1.84E+03
977.5,1.60E+03
978,1.50E+03
978.5,1.42E+03
979,1.37E+03
979.5,1.35E+03
980,1.34E+03
980.5,1.33E+03
981,1.34E+03
981.5,1.35E+03
982,1.36E+03
982.5,1.36E+03
983,1.36E+03
983.5,1.37E+03
984,1.36E+03
984.5,1.36E+03
985,1.36E+03
985.5,1.38E+03
986,1.40E+03
986.5,1.41E+03
987,1.41E+03
987.5,1.41E+03
988,1.38E+03
988.5,1.36E+03
989,1.35E+03
989.5,1.36E+03
990,1.36E+03
990.5,1.36E+03
991,1.36E+03
991.5,1.36E+03
992,1.34E+03
992.5,1.34E+03
993,1.33E+03
993.5,1.33E+03
994,1.33E+03
994.5,1.34E+03
995,1.35E+03
995.5,1.36E+03
996,1.35E+03
996.5,1.34E+03
997,1.35E+03
997.5,1.36E+03
998,1.36E+03
998.5,1.38E+03
999,1.39E+03
999.5,1.39E+03
1000,1.39E+03
1000.5,1.39E+03
1001,1.37E+03
1001.5,1.35E+03
1002,1.33E+03
1002.5,1.33E+03
1003,1.32E+03
1003.5,1.31E+03
1004,1.31E+03
1004.5,1.31E+03
1005,1.30E+03
1005.5,1.30E+03
1006,1.31E+03
1006.5,1.32E+03
1007,1.34E+03
1007.5,1.35E+03
1008,1.38E+03
1008.5,1.44E+03
1009,1.49E+03
1009.5,1.51E+03
1010,1.51E+03
1010.5,1.47E+03
1011,1.39E+03
1011.5,1.36E+03
1012,1.35E+03
1012.5,1.35E+03
1013,1.34E+03
1013.5,1.33E+03
1014,1.33E+03
1014.5,1.33E+03
1015,1.33E+03
1015.5,1.33E+03
1016,1.32E+03
1016.5,1.31E+03
1017,1.30E+03
1017.5,1.30E+03
1018,1.31E+03
1018.5,1.31E+03
1019,1.31E+03
1019.5,1.33E+03
1020,1.35E+03
1020.5,1.37E+03
1021,1.37E+03
1021.5,1.37E+03
1022,1.34E+03
1022.5,1.31E+03
1023,1.30E+03
1023.5,1.30E+03
1024,1.30E+03
1024.5,1.31E+03
1025,1.31E+03
1025.5,1.30E+03
1026,1.30E+03
1026.5,1.29E+03
1027,1.29E+03
1027.5,1.28E+03
1028,1.28E+03
1028.5,1.29E+03
1029,1.31E+03
1029.5,1.32E+03
1030,1.33E+03
1030.5,1.34E+03
1031,1.34E+03
1031.5,1.35E+03
1032,1.36E+03
1032.5,1.35E+03
1033,1.35E+03
